geoAreaName,parentName,longitude,latitude,latest_value
Bulgaria,Eastern Europe,25.23763153,42.75731323,0.33285
Myanmar,South-Eastern Asia,96.51752295,21.19332882,0.10362
Belarus,Eastern Europe,28.04940161,53.54193075,0.3383
Cambodia,South-Eastern Asia,104.922836,12.71163737,0.18795
Algeria,Northern Africa,2.678164227,28.15940032,0.2319
Cameroon,Middle Africa,12.7419827,5.692387031,0.07716
Canada,Northern America,-101.6575058,57.72360191,0.34675
Sri Lanka,Southern Asia,80.70489654,7.614693343,0.09405
Chile,South America,-71.23029019,-35.2652885,0.22286
China,Eastern Asia,104.1403375,32.30955217,0.44521
Colombia,South America,-73.07446751,3.888209046,0.11881
Congo,Western Africa,15.22052612,-0.840544119,0.11143
Democratic Republic of the Congo,Middle Africa,23.65496507,-2.877154732,0.03419
Costa Rica,Central America,-84.19712782,9.970998683,0.10146
Croatia,Southern Europe,17.95874553,45.45172212,0.18043
Cuba,Caribbean,-79.54460144,22.10030366,0.11168
Cyprus,Western Asia,33.22285964,35.05659437,0.22879
Czechia,Eastern Europe,15.33151382,49.73913871,0.30197
Benin,Western Africa,2.339933594,9.65401646,0.2985
Denmark,Northern Europe,9.326571283,56.03829721,0.11739
Dominican Republic,Caribbean,-70.49847576,18.89832088,0.13913
Ecuador,South America,-78.37005241,-1.447785891,0.19951
El Salvador,Central America,-88.86862995,13.73603564,0.12587
Ethiopia,Eastern Africa,39.63505296,8.631223181,0.07341
Eritrea,Eastern Africa,38.11074289,16.12894644,0.07554
Estonia,Northern Europe,25.84093481,58.68487172,0.42704
Angola,Middle Africa,17.57817062,-12.33724746,0.10205
Finland,Northern Europe,23.308447,61.91586738,0.19395
France,Western Europe,2.457288129,46.62660861,0.12052
Gabon,Middle Africa,11.78727747,-0.60687619,0.1031
Georgia,Western Asia,43.3713615,42.04813028,0.24607
Germany,Western Europe,10.3806066,51.08862743,0.19734
Ghana,Western Africa,-1.205623522,7.964825185,0.1192
Gibraltar,Southern Europe,-5.347561686,36.13895036,0.60369
Greece,Southern Europe,22.58307827,39.47301873,0.24382
Azerbaijan,Western Asia,50.01064725,40.39229544,0.20117
Argentina,South America,-65.14563274,-35.19446255,0.2233
Guatemala,Central America,-91.2312746,15.00273719,0.12765
Haiti,Caribbean,-72.33640958,18.40426539,0.18514
Honduras,Central America,-86.59974381,14.82243161,0.22864
"China, Hong Kong Special Administrative Region",Eastern Asia,114.0266445,22.41749934,0.10847
Hungary,Eastern Europe,19.41221519,47.1651448,0.18118
Iceland,Northern Europe,-19.02116966,64.79134763,0.13471
India,Southern Asia,79.3608464,22.34642074,0.2562
Australia,Australia and New Zealand,134.3499412,-25.57717202,0.3366
Indonesia,South-Eastern Asia,113.9174,-0.994582204,0.17153
Iran (Islamic Republic of),Southern Asia,54.19766348,32.74370885,0.37569
Iraq,Western Asia,43.76606267,33.05013795,0.24232
Ireland,Northern Europe,-7.121425272,53.25274054,0.11213
Israel,Western Asia,34.62277992,31.06164552,0.22568
Italy,Southern Europe,12.57022427,42.79917282,0.15524
Côte d'Ivoire,Western Africa,-5.552690016,7.62211586,0.11991
Jamaica,Caribbean,-77.31068409,18.15616857,0.29876
Japan,Eastern Asia,139.2716103,36.6554539,0.23457
Kazakhstan,Central Asia,66.65359159,48.01963494,0.60105
Austria,Western Europe,14.14172472,47.58704857,0.16722
Jordan,Western Asia,37.13024774,30.65365973,0.32237
Kenya,Eastern Africa,37.86096816,0.534797278,0.11162
Democratic People's Republic of Korea,Eastern Asia,127.1803633,40.1462645,0.19032
Republic of Korea,Eastern Asia,127.8610254,36.45201023,0.32427
Kuwait,Western Asia,47.49305029,29.53949468,0.33669
Kyrgyzstan,Central Asia,74.52324839,41.46204516,0.43209
Lebanon,Western Asia,35.89391711,33.92152458,0.34259
Latvia,Northern Europe,26.42461876,56.64196636,0.14283
Libya,Northern Africa,18.0295985,27.04042819,0.37184
Lithuania,Northern Europe,23.90517807,55.33680309,0.13541
Luxembourg,Western Europe,6.092656563,49.77679538,0.16659
Malaysia,South-Eastern Asia,116.8346314,5.452415309,0.25393
Malta,Southern Europe,14.44617519,35.89194275,0.09103
Bahrain,Western Asia,50.5490754,26.04407747,0.47093
Mauritius,Eastern Africa,57.568022,-20.28581998,0.1661
Mexico,Central America,-102.5148166,23.93378032,0.21088
Mongolia,Eastern Asia,103.0728057,46.83892054,0.54361
Republic of Moldova,Eastern Europe,28.4650624,47.20236795,0.41699
Montenegro,Southern Europe,19.25214024,42.78717043,0.22164
Bangladesh,Southern Asia,89.17660788,22.86961622,0.13767
Morocco,Northern Africa,-6.281942841,31.8440131,0.21875
Mozambique,Eastern Africa,38.18479941,-14.27963886,0.23083
Armenia,Western Asia,44.93839317,40.29499741,0.20473
Oman,Western Asia,57.87743482,21.98805614,0.37984
Namibia,Southern Africa,17.21907885,-22.13817068,0.17087
Nepal,Southern Asia,83.94678863,28.25866332,0.14341
Netherlands,Western Europe,5.331480568,51.86728884,0.19052
Curaçao,Caribbean,-68.95033464,12.15058042,2.2661
New Zealand,Australia and New Zealand,170.4755673,-43.98721568,0.19243
Nicaragua,Central America,-85.03060315,12.84210839,0.15752
Belgium,Western Europe,4.660976456,50.64104975,0.19049
Niger,Western Africa,9.400167877,17.42143036,0.10514
Nigeria,Western Africa,8.097363256,9.585789025,0.08592
Norway,Northern Europe,11.47846389,61.34311134,0.10907
Pakistan,Southern Asia,68.80479684,29.36491634,0.18876
Panama,Central America,-81.26616623,8.450965746,0.1074
Paraguay,South America,-60.54854225,-21.70216237,0.09626
Peru,South America,-71.82093277,-13.58939705,0.12886
Philippines,South-Eastern Asia,120.8601418,14.16591706,0.16192
Poland,Eastern Europe,19.40660158,52.1226733,0.30462
Portugal,Southern Europe,-7.961599811,39.68509315,0.17533
Qatar,Western Asia,51.19152467,25.28355379,0.26497
Romania,Eastern Europe,24.98481009,45.83893563,0.15834
Russian Federation,Eastern Europe,99.01404926,61.61899849,0.47642
Bolivia (Plurinational State of),South America,-64.66224284,-16.71273412,0.29371
Saudi Arabia,Western Asia,44.54763347,24.12594211,0.33664
Senegal,Western Africa,-14.46636926,14.35920905,0.1703
Serbia,Southern Europe,20.805876,44.03145697,0.49132
Bosnia and Herzegovina,Southern Europe,17.78584332,44.16845548,0.56686
Singapore,South-Eastern Asia,103.8107883,1.361009155,0.10079
Slovakia,Eastern Europe,19.48495604,48.70741446,0.19808
Viet Nam,South-Eastern Asia,105.802499,10.09643079,0.33102
Slovenia,Southern Europe,14.82209486,46.11958061,0.21401
South Africa,Southern Africa,24.67184355,-29.99957544,0.61721
Zimbabwe,Eastern Africa,29.86909584,-19.00075492,0.27117
Botswana,Southern Africa,23.81380223,-22.18810073,0.22212
Spain,Southern Europe,-3.554078296,40.39211472,0.16162
South Sudan,Eastern Africa,30.32618773,7.290839152,0.40508
Sudan,Northern Africa,29.95650159,16.02643066,0.10586
Suriname,South America,-55.90626394,4.132603197,0.25297
Sweden,Northern Europe,14.3775338,60.60103109,0.08279
Switzerland,Western Europe,8.223158,46.96617097,0.07975
Brazil,South America,-53.08432878,-10.77668561,0.14787
Syrian Arab Republic,Western Asia,38.50466565,35.01676176,0.78909
Tajikistan,Central Asia,69.294998,38.43069666,0.22972
Thailand,South-Eastern Asia,101.0202951,15.13089239,0.22182
Togo,Western Africa,0.97835765,8.532096072,0.18028
Trinidad and Tobago,Caribbean,-61.29389504,10.41877263,0.46671
United Arab Emirates,Western Asia,53.98279159,23.43322219,0.31707
Tunisia,Northern Africa,9.572737411,34.11439971,0.21338
Turkey,Western Asia,35.42890329,38.9899684,0.19227
Turkmenistan,Central Asia,58.9787665,40.0912346,0.74626
Albania,Southern Europe,20.06660928,41.13897007,0.13202
Ukraine,Eastern Europe,31.40270802,49.00735945,0.52048
North Macedonia,Southern Europe,21.7007909,41.60048068,0.27396
Egypt,Northern Africa,29.77468534,26.57438204,0.20746
United Kingdom of Great Britain and Northern Ireland,Northern Europe,-2.23830539,53.27691757,0.13811
United Republic of Tanzania,Eastern Africa,34.80521182,-6.265332606,0.06927
United States of America,Northern America,-99.13830311,39.5277871,0.27445
Uruguay,South America,-56.01387025,-32.8002838,0.08438
Uzbekistan,Central Asia,63.11944558,41.77560518,0.409
Venezuela (Bolivarian Republic of),South America,-66.15642084,7.121324748,0.33467
Yemen,Western Asia,45.22389143,15.22242099,0.13603
Zambia,Eastern Africa,27.850329,-14.59701056,0.09787
Brunei Darussalam,South-Eastern Asia,114.6288563,4.49736984,0.22247